"","nodesize","ntree","maxit","mtry","cutoff","RMSE_train","TPR_train","TNR_train","PPV_train","NPV_train","ACC_train","BALACC_train","F1_train","F2_train","RMSE_tune","TPR_tune","TNR_tune","PPV_tune","NPV_tune","ACC_tune","BALACC_tune","F1_tune","F2_tune"
"912",100,40,10,100,0.25,0.018578352180937,0.963022508038585,1,1,0.964006259780908,0.981421647819063,0.981511254019293,0.981162981162981,0.981673306772908,0.21656050955414,0.808219178082192,0.454545454545455,0.951612903225806,0.151515151515152,0.78343949044586,0.631382316313823,0.874074074074074,0.227272727272727
"913",100,40,10,100,0.3,0.00848142164781906,0.984726688102894,0.998376623376623,0.998370008149959,0.984787830264211,0.991518578352181,0.991551655739759,0.991501416430595,0.991535671100363,0.191082802547771,0.849315068493151,0.272727272727273,0.939393939393939,0.12,0.808917197452229,0.561021170610212,0.892086330935252,0.166666666666667
"914",100,40,10,100,0.35,0.00161550888529887,0.997588424437299,0.999188311688312,0.999194847020934,0.997568881685575,0.998384491114701,0.998388368062805,0.998390989541432,0.998377939983779,0.121019108280255,0.938356164383562,0.0909090909090909,0.931972789115646,0.1,0.878980891719745,0.514632627646326,0.935153583617747,0.0952380952380952
"915",100,40,10,100,0.4,0.00767366720516963,0.998392282958199,0.986201298701299,0.986497220015886,0.99835661462613,0.99232633279483,0.992296790829749,0.992409109069117,0.992241731318906,0.10828025477707,0.952054794520548,0.0909090909090909,0.932885906040268,0.125,0.89171974522293,0.521481942714819,0.942372881355932,0.105263157894737
"916",100,40,10,100,0.45,0.00282714054927302,1,0.994318181818182,0.994404476418865,1,0.997172859450727,0.997159090909091,0.997194388777555,0.997150997150997,0.10828025477707,0.952054794520548,0.0909090909090909,0.932885906040268,0.125,0.89171974522293,0.521481942714819,0.942372881355932,0.105263157894737
"917",100,40,10,100,0.5,0.015751211631664,1,0.968344155844156,0.969602494154326,1,0.984248788368336,0.984172077922078,0.984566679857539,0.983917525773196,0.0828025477707006,0.979452054794521,0.0909090909090909,0.934640522875817,0.25,0.917197452229299,0.535180572851806,0.956521739130435,0.133333333333333
"918",100,40,10,400,0.2,0.082794830371567,0.835209003215434,1,1,0.857341684064022,0.917205169628433,0.917604501607717,0.910205869469996,0.923192206819033,0.401273885350318,0.602739726027397,0.545454545454545,0.946236559139785,0.09375,0.598726114649682,0.574097135740971,0.736401673640167,0.16
"919",100,40,10,400,0.25,0.0407915993537964,0.919614147909968,0.999188311688312,0.999126637554585,0.924868519909842,0.959208400646204,0.95940122979914,0.95772289660946,0.960593055013656,0.261146496815287,0.773972602739726,0.272727272727273,0.933884297520661,0.0833333333333333,0.738853503184713,0.523349937733499,0.846441947565543,0.127659574468085
"920",100,40,10,400,0.3,0.0210016155088853,0.959807073954984,0.998376623376623,0.998327759197324,0.9609375,0.978998384491115,0.979091848665804,0.978688524590164,0.979299363057325,0.191082802547771,0.849315068493151,0.272727272727273,0.939393939393939,0.12,0.808917197452229,0.561021170610212,0.892086330935252,0.166666666666667
"921",100,40,10,400,0.35,0.0109046849757674,0.986334405144695,0.991883116883117,0.991915925626516,0.986279257465698,0.989095315024233,0.989108761013906,0.989117291414752,0.989073249696479,0.140127388535032,0.910958904109589,0.181818181818182,0.936619718309859,0.133333333333333,0.859872611464968,0.546388542963885,0.923611111111111,0.153846153846154
